sample,Gene,value,group,replicate
A_TP_60_REP_3,Cops5,8.730991088,Anterior,3
A_TP_90_REP_1,Cops5,8.556117663,Anterior,1
A_TP_90_REP_2,Cops5,8.986062425,Anterior,2
A_TP_90_REP_3,Cops5,8.801292044,Anterior,3
A_TP_120_REP_1,Cops5,8.530197176,Anterior,1
A_TP_120_REP_2,Cops5,8.684857047,Anterior,2
A_TP_120_REP_3,Cops5,8.731862849,Anterior,3
A_TP_30_REP_1,Cspp1,9.204817899,Anterior,1
A_TP_30_REP_2,Cspp1,9.223792135,Anterior,2
A_TP_30_REP_3,Cspp1,8.896023659,Anterior,3
A_TP_60_REP_1,Cspp1,8.628148414,Anterior,1
A_TP_60_REP_2,Cspp1,9.142104434,Anterior,2
A_TP_60_REP_3,Cspp1,8.943871548,Anterior,3
A_TP_90_REP_1,Cspp1,8.984222825,Anterior,1
A_TP_90_REP_2,Cspp1,8.673775048,Anterior,2
A_TP_90_REP_3,Cspp1,8.847957813,Anterior,3
A_TP_120_REP_1,Cspp1,8.632291583,Anterior,1
A_TP_120_REP_2,Cspp1,8.982623175,Anterior,2
A_TP_120_REP_3,Cspp1,8.586617832,Anterior,3
A_TP_30_REP_1,Arfgef1,9.32313127,Anterior,1
A_TP_30_REP_2,Arfgef1,8.942049592,Anterior,2
A_TP_30_REP_3,Arfgef1,8.780084609,Anterior,3
A_TP_60_REP_1,Arfgef1,8.739844538,Anterior,1
A_TP_60_REP_2,Arfgef1,8.766997287,Anterior,2
A_TP_60_REP_3,Arfgef1,8.788308803,Anterior,3
A_TP_90_REP_1,Arfgef1,9.28022477,Anterior,1
A_TP_90_REP_2,Arfgef1,8.746114365,Anterior,2
A_TP_90_REP_3,Arfgef1,9.076776491,Anterior,3
A_TP_120_REP_1,Arfgef1,8.776022171,Anterior,1
A_TP_120_REP_2,Arfgef1,8.617909779,Anterior,2
A_TP_120_REP_3,Arfgef1,9.096236494,Anterior,3
A_TP_30_REP_1,Cpa6,3.08938035,Anterior,1
A_TP_30_REP_2,Cpa6,3.049531219,Anterior,2
A_TP_30_REP_3,Cpa6,3.306481091,Anterior,3
A_TP_60_REP_1,Cpa6,2.709115706,Anterior,1
A_TP_60_REP_2,Cpa6,4.549790982,Anterior,2
A_TP_60_REP_3,Cpa6,3.450912452,Anterior,3
A_TP_90_REP_1,Cpa6,4.416362758,Anterior,1
A_TP_90_REP_2,Cpa6,2.867841089,Anterior,2
A_TP_90_REP_3,Cpa6,2.432927484,Anterior,3
A_TP_120_REP_1,Cpa6,2.683023979,Anterior,1
A_TP_120_REP_2,Cpa6,3.955472733,Anterior,2
A_TP_120_REP_3,Cpa6,2.135299061,Anterior,3
A_TP_30_REP_1,Prex2,7.552358482,Anterior,1
A_TP_30_REP_2,Prex2,7.322897194,Anterior,2
A_TP_30_REP_3,Prex2,6.597043303,Anterior,3
A_TP_60_REP_1,Prex2,7.885185697,Anterior,1
A_TP_60_REP_2,Prex2,7.535665144,Anterior,2
A_TP_60_REP_3,Prex2,7.32756275,Anterior,3
A_TP_90_REP_1,Prex2,7.507120811,Anterior,1
A_TP_90_REP_2,Prex2,7.662426515,Anterior,2
A_TP_90_REP_3,Prex2,7.316468886,Anterior,3
A_TP_120_REP_1,Prex2,6.84375932,Anterior,1
A_TP_120_REP_2,Prex2,7.452567729,Anterior,2
A_TP_120_REP_3,Prex2,6.996417251,Anterior,3
A_TP_30_REP_1,A830018L16Rik,4.620994446,Anterior,1
A_TP_30_REP_2,A830018L16Rik,5.37701325,Anterior,2
A_TP_30_REP_3,A830018L16Rik,5.454521498,Anterior,3
A_TP_60_REP_1,A830018L16Rik,5.545303015,Anterior,1
A_TP_60_REP_2,A830018L16Rik,5.149558135,Anterior,2
A_TP_60_REP_3,A830018L16Rik,5.064154436,Anterior,3
A_TP_90_REP_1,A830018L16Rik,5.494992662,Anterior,1
A_TP_90_REP_2,A830018L16Rik,5.74140402,Anterior,2
A_TP_90_REP_3,A830018L16Rik,5.369195579,Anterior,3
A_TP_120_REP_1,A830018L16Rik,4.253486567,Anterior,1
A_TP_120_REP_2,A830018L16Rik,5.778947128,Anterior,2
A_TP_120_REP_3,A830018L16Rik,5.260255311,Anterior,3
A_TP_30_REP_1,Sulf1,8.872973382,Anterior,1
A_TP_30_REP_2,Sulf1,8.926716687,Anterior,2
A_TP_30_REP_3,Sulf1,8.728770112,Anterior,3
A_TP_60_REP_1,Sulf1,8.956402388,Anterior,1
A_TP_60_REP_2,Sulf1,8.666473857,Anterior,2
A_TP_60_REP_3,Sulf1,8.66660617,Anterior,3
A_TP_90_REP_1,Sulf1,8.715950633,Anterior,1
A_TP_90_REP_2,Sulf1,8.774064125,Anterior,2
A_TP_90_REP_3,Sulf1,8.827144804,Anterior,3
A_TP_120_REP_1,Sulf1,8.530197176,Anterior,1
A_TP_120_REP_2,Sulf1,8.738367061,Anterior,2
A_TP_120_REP_3,Sulf1,8.716428026,Anterior,3
A_TP_30_REP_1,Slco5a1,5.005321992,Anterior,1
A_TP_30_REP_2,Slco5a1,5.86283597,Anterior,2
A_TP_30_REP_3,Slco5a1,5.093750413,Anterior,3
A_TP_60_REP_1,Slco5a1,6.015713456,Anterior,1
A_TP_60_REP_2,Slco5a1,4.837755579,Anterior,2
A_TP_60_REP_3,Slco5a1,4.848931391,Anterior,3
A_TP_90_REP_1,Slco5a1,5.728276094,Anterior,1
A_TP_90_REP_2,Slco5a1,5.112637822,Anterior,2
A_TP_90_REP_3,Slco5a1,5.729695585,Anterior,3
A_TP_120_REP_1,Slco5a1,3.040776928,Anterior,1
A_TP_120_REP_2,Slco5a1,5.004538599,Anterior,2
A_TP_120_REP_3,Slco5a1,5.302216472,Anterior,3
A_TP_30_REP_1,Ncoa2,7.601011867,Anterior,1
A_TP_30_REP_2,Ncoa2,6.810844943,Anterior,2
A_TP_30_REP_3,Ncoa2,7.003813138,Anterior,3
A_TP_60_REP_1,Ncoa2,7.207394956,Anterior,1
A_TP_60_REP_2,Ncoa2,7.319027258,Anterior,2
A_TP_60_REP_3,Ncoa2,7.081689655,Anterior,3
A_TP_90_REP_1,Ncoa2,7.141689624,Anterior,1
A_TP_90_REP_2,Ncoa2,7.125091426,Anterior,2
A_TP_90_REP_3,Ncoa2,7.582416671,Anterior,3
A_TP_120_REP_1,Ncoa2,7.054582349,Anterior,1
A_TP_120_REP_2,Ncoa2,7.170564136,Anterior,2
A_TP_120_REP_3,Ncoa2,7.071130734,Anterior,3
A_TP_30_REP_1,Tram1,9.377674657,Anterior,1
A_TP_30_REP_2,Tram1,9.870189962,Anterior,2
